Are we going to pass?	Papasa ba tayo?
Am I going to pass?	Papasa ba ako?
I will study tomorrow.	Mag-aaral ako bukas.
When is the exam?	Kailan ang pagsusulit?
Why is the exam hard?	Bakit ang hirap ng pagsusulit?
Why is the exam difficult?	Bakit ang hirap ng pagsusulit?
Give me paper.	Pahingi ng papel.
Follow the instructions.	Sundin ang panuto.
What color is this?	Anong kulay ito?
I will go to school tomorrow.	Papasok ako sa paaralan mamaya.
I can not find my pencil.	Hindi ko makita ang lapis ko.
The ballpen has no more ink.	Ubos na ang tinta ng ballpen.
I will fail again.	Babagsak na naman ako.
I will fail.	Babagsak ako.
I will pass.	Papasa ako.
I barely passed.	Pasang awa ako.
I almost passed.	Muntik na akong pumasa.
I almost failed.	Muntik na akong bumagsak.
What have you finished?	Ano na natapos mo?
No erasures.	Bawal magbura.
Cheating is not allowed.	Bawal mandaya.
Cheating is not allowed.	Bawal ang pandaraya.
Finished or not finished.	Tapos o hindi tapos.
The room is hot.	Ang init sa kwarto.
What time will you come?	Anong oras ka papasok?
I feel lazy to go.	Tinatamad akong pumasok.
What is your lunch?	Anong baon mo?
The teacher is good at teaching.	Magaling magturo ang guro.
I did not understand anything.	Wala akong naintindihan.
Teach this.	Paturo nito.
I was not able to answer anything again.	Wala na naman akong nasagutan.
Is there class?	May klase ba?
Did the professor arrive already?	Dumating na ba yung propesor?
Where is our class?	Saan klase natin?
Write on the blackboard.	Isulat sa pisara.
Chalk is used to write on the black board.	Yeso ang ginagamit na panulat sa pisara.
I want to go to UP.	Gusto kong pumasok sa UP.
I want to go to school.	Gusto kong pumasok sa paaralan.
I want to write on paper.	Gusto ko magsulat sa papel.
I will write on paper.	Magsusulat ako sa papel.
I will write a report.	Magsusulat ako ng isang ulat.
We have only come for a day.	Isang araw pa lang tayo pumapasok.
The two of us will report tomorrow.	Dalawa tayong mag-uulat bukas.
The three of us will report tomorrow.	Tatlo tayong mag-uulat bukas.
I will study.	Ako ay mag-aaral.
I studied.	Ako ay nag-aaral.
I am studying.	Ako ay nag-aaral.
I wrote.	Ako ay nagsulat.
I am writing.	Ako ay nagsusulat.
I will write.	Ako ay magsusulat.
I am counting.	Ako ay nagbibilang.
I counted.	Ako ay nagbilang.
I will count.	Ako ay magbibilang.
I read.	Ako ay nagbasa.
I am reading.	Ako ay nagbabasa.
I will read.	Ako ay magbabasa.
I will copy.	Hindi ako kokopya.
I am copying.	Hindi ako kumokopya.
I did not copy.	Hindi ako kumopya.
I wrote few.	Kaunti ang sinulat ko.
I will go.	Ako ay papasok.
I am going.	Ako ay pumapasok.
I went.	Ako ay pumasok.
I answered the homework.	Ako ay nagsagot ng takdang-aralin.
I am answering the homework.	Ako ay nagsasagot ng takdang-aralin.
I will answer the homework.	Ako ay magsasagot ng takdang-aralin.
You will study.	Ikaw ay mag-aaral.
You are studying.	Ikaw ay nag-aaral.
You studied.	Ikaw ay nag-aral.
I go to school.	Ako ay pumapasok sa paaralan.
I went to school.	Ako ay pumasok sa paaralan.
I will go to school.	Ako ay papasok sa paaralan.
The child went to school.	Ang bata ay pumasok sa eskwela.
The child goes to school.	Ang bata ay pumapasok sa eskwela.
The child will go to school.	Ang bata ay papasok sa eskwela.
I am studying math.	Nag-aaral ako ng matematika.
I am studying english.	Nag-aaral ako ng ingles.
I am studying physics.	Nag-aaral ako ng pisika.
I am studying chemistry.	Nag-aaral ako ng kemika.
I am studying filipino.	Nag-aaral ako ng filipino.
I am studying social studies.	Nag-aaral ako ng araling panlipunan.
I am studying history.	Nag-aaral ako ng kasaysayan.
I am studying writing.	Nag-aaral ako ng pagsulat.
I am studying science.	Nag-aaral ako ng agham.
I am studying social science.	Nag-aaral ako ng agham panlipunan.
I am studying speech.	Nag-aaral ako ng pagbigkas.
My seatmate is copying.	Nangongopya katabi ko.
My seatmate is cheating.	Nangongopya katabi ko.
I am studying reading.	Nag-aaral ako ng pagbasa.
I am studying reading.	Nag-aaral ako ng pagbabasa.
No one passed.	Walang pumasa.
Nobody passed.	Walang pumasa.
I passed the paper.	Pinasa ko ang papel.
I am passing the paper.	Pinapasa ko ang papel.
I will pass the paper.	Ipapasa ko ang papel.
I passed the paper.	Nagpasa ako ng papel.
I am passing the paper.	Nagpapasa ako ng papel.
I will pass the paper.	Magpapasa ako ng papel.
I am a fast reader.	Mabilis ako magbasa.
I am a faster reader.	Mas mabilis ako magbasa.
I am the fastest reader.	Pinakamabilis ako magbasa.
I am a very fast reader.	Napakabilis kong bumasa.
I am a good writer.	Magaling ako magsulat.
I am a better writer.	Mas magaling ako magsulat.
I am the fastest reader.	Pinakamagaling ako magsulat.
I am answering.	Ako ay nagsasagot.
I answered.	Ako ay nagsagot.
I will answer.	Ako ay magsasagot.
I answered.	Nagsagot ako.
I am answering.	Nagsasagot ako.
I will answer.	Magsasagot ako.
I will go in on Monday.	Papasok ako sa Lunes.
I will go in on Tuesday.	Papasok ako sa Martes.
I will go in on Wednesday.	Papasok ako sa Miyerkules.
I will go in on Thursday.	Papasok ako sa Huwebes.
I will go in on Friday.	Papasok ako sa Biyernes.
I will go in on Saturday.	Papasok ako sa Sabado.
I will not go in on Sunday.	Hindi ako papasok sa Linggo.
I will go on Monday.	Pupunta ako sa Lunes.
I will go on Tuesday.	Pupunta ako sa Martes.
I will go on Wednesday.	Pupunta ako sa Miyerkules.
I will go on Thursday.	Pupunta ako sa Huwebes.
I will go on Friday.	Pupunta ako sa Biyernes.
I will go on Saturday.	Pupunta ako sa Sabado.
I will not go on Sunday.	Hindi ako pupunta sa Linggo.
The room is hot.	Mainit sa kwarto.
She is small.	Maliit siya.
He is small.	Maliit siya.
Only a few passed.	Kaunti lamang ang pumasa.
He did not study.	Hindi siya nag-aral.
He is not studying.	Hindi siya nag-aaral.
He does not study.	Hindi siya nag-aaral.
He will not study.	Hindi siya mag-aaral.
I am reading a book now.	Nagbabasa ako ng libro ngayon.
She did not study.	Hindi siya nag-aral.
She is not studying.	Hindi siya nag-aaral.
She does not study.	Hindi siya nag-aaral.
She will not study.	Hindi siya mag-aaral.
I read books.	Nagbabasa ako ng mga libro.
I read a book.	Nagbasa ako ng libro.
I will read a book.	Magbabasa ako ng libro.
I read the book.	Binasa ko ang libro.
I am reading the book.	Binabasa ko ang libro.
I will read the book.	Babasahin ko ang libro.
I wrote a letter.	Nagsulat ako ng letra.
I am writing a letter.	Nagsusulat ako ng letra.
I will write a letter.	Magsusulat ako ng letra.
I wrote letters.	Nagsulat ako ng mga letra.
I am writing letters.	Nagsusulat ako ng mga letra.
I will write letters.	Magsusulat ako ng mga letra.
I wrote a letter.	Sumulat ako ng letra.
I am writing a letter.	Sumusulat ako ng letra.
I will write a letter.	Susulat ako ng letra.
I wrote letters.	Sumulat ako ng mga letra.
I am writing letters.	Sumusulat ako ng mga letra.
I will write letters.	Susulat ako ng mga letra.
I listened to the professor.	Nakinig ako sa propesor.
I listen to the professor.	Nakikinig ako sa propesor.
I will listen to the professor.	Makikinig ako sa propesor.
I listened to the professor.	Pinakinggan ko ang propesor.
I listen to the professor.	Pinapakinggan ko ang propesor.
I will listen to the professor.	Papakinggan ko ang propesor.
I listened to the professors.	Nakinig ako sa mga propesor.
I listen to the professors.	Nakikinig ako sa mga propesor.
I will listen to the professors.	Makikinig ako sa mga propesor.
I listened to the teacher.	Nakinig ako sa guro.
I listen to the teacher.	Nakikinig ako sa guro.
I will listen to the teacher.	Makikinig ako sa guro.
I listened to the teacher.	Nakinig ako sa mga guro.
I listen to the teachers.	Nakikinig ako sa mga guro.
I will listen to the teachers.	Makikinig ako sa mga guro.
My classmate is good.	Ang kaklase ko ay mabait.
My classmates are good.	Ang mga kaklase ko ay mababait.
My classmate is intelligent.	Ang kaklase ko ay matalino.
My classmates are intelligent.	Ang mga kaklase ko ay matatalino.
My teacher is intelligent.	Ang guro ko ay matalino.
My teachers are intelligent.	Ang mga guro ko ay matatalino.
My professor is intelligent.	Ang propesor ko ay matalino.
My professors are intelligent.	Ang mga propesor ko ay matatalino.
My classmate is good.	Mabait ang kaklase ko.
My classmates are good.	Mababait ang mga kaklase ko.
My classmate is intelligent.	Matalino ang aking kaklase.
My classmates are intelligent.	Matatalino ang aking mga kaklase.
My classmate is good.	Mabait ang aking kaklase.
My classmates are good.	Mababait ang aking mga kaklase.
My classmate is intelligent.	Matalino ang kaklase ko.
My classmates are intelligent.	Matatalino ang mga kaklase ko.
My teacher is intelligent.	Matalino ang aking guro.
My teachers are intelligent.	Matatalino ang aking mga guro.
My teacher is intelligent.	Matalino ang guro ko.
My teachers are intelligent.	Matatalino ang mga guro ko.
My friend is helpful.	Matulungin ang aking kaibigan.
My friends are helpful.	Matutulungin ang aking mga kaibigan.
My teacher is frequently angry.	Madalas magalit aking guro.
My teacher is frequently angry.	Madalas magalit ang guro ko.
I have a helpful friend.	May matulungin akong kaibigan.
I have a helpful friend.	Mayroon akong matulunging kaibigan.
I have a good friend.	May mabuti akong kaibigan.
I have a good friend.	Mayroon akong mabuting kaibigan.
I have a good friend.	Mayroon akong kaibigang mabuti.
It's hard to study.	Mahirap mag-aral.
It's difficult to study.	Mahirap mag-aral.
I like to study.	Mahilig ako mag-aral.
I like to read.	Mahilig ako magbasa.
I like to write.	Mahilig ako magsulat.
I like to read.	Mahilig ako bumasa.
I like to write.	Mahilig ako sumulat.
I like reading.	Mahilig ako sa pagbabasa.
I like writing.	Mahilig ako sa pagsusulat.
I like to play.	Mahilig ako maglaro.
I like playing.	Mahilig ako sa paglalaro.
I like to play.	Mahilig ako tumugtog.
I like to play music.	Mahilig ako tumugtog ng musika.
I like to play the guitar.	Mahilig ako tumugtog ng gitara.
I like to play the piano.	Mahilig ako tumugtog ng piano.
The library is big.	Malaki ang silid-aklatan.
The library is huge.	Malaki ang silid-aklatan.
There are many books in the library.	Maraming libro sa silid-aklatan.
The library has many books.	Ang silid aklatan ay may maraming libro.
It is cold in the library.	Malamig sa silid-aklatan.
It is cold inside the library.	Malamig sa loob ng silid-aklatan.
The library is cold.	Ang silid aklatan ay malamig.
There are many studying in the library.	Maraming nag-aaral sa silid-aklatan.
It is comfortable to study in the library.	Kumportableng mag-aral sa silid-aklatan.
Many will study in the library.	Maraming mag-aaral sa silid aklatan.
Many students are in the library.	Maraming mag-aaral sa silid aklatan.
Many books are in the library.	Napakaraming libro sa silid-aklatan.
There are many books in the library.	Napakaraming libro sa silid-aklatan.
Many books are in the library.	Maraming aklat sa silid-aklatan.
Many books are in the library.	Napakaraming libro sa silid-aklatan.
I am good at studying.	Magaling akong mag-aral.
I am better at studying.	Mas magaling akong mag-aral.
I am the best at studying.	Pinakamagaling akong mag-aral.
I am very good at studying.	Napakagaling kong mag-aral.
I am studious.	Masipag akong mag-aral.
I am more studious.	Mas masipag akong mag-aral.
I am the most studious.	Pinakamasipag akong mag-aral.
I am very studious.	Napakasipag kong mag-aral.
He is good at studying.	Magaling siyang mag-aral.
He is better at studying.	Mas magaling siyang mag-aral.
He is the best at studying.	Pinakamagaling siyang mag-aral.
He is very good at studying.	Napakagaling niyang mag-aral.
He is studious.	Masipag siyang mag-aral.
He is more studious.	Mas masipag siyang mag-aral.
He is the most studious.	Pinakamasipag siyang mag-aral.
He is very studious.	Napakasipag niyang mag-aral.
She is good at studying.	Magaling siyang mag-aral.
She is better at studying.	Mas magaling siyang mag-aral.
She is the best at studying.	Pinakamagaling siyang mag-aral.
She is very good at studying.	Napakagaling niyang mag-aral.
She is studious.	Masipag siyang mag-aral.
She is more studious.	Mas masipag siyang mag-aral.
She is the most studious.	Pinakamasipag siyang mag-aral.
She is very studious.	Napakasipag niyang mag-aral.
The restroom is clean.	Malinis ang palikuran.
The bathroom is clean.	Malinis ang palikuran.
The comfort room is clean.	Malinis ang palikuran.
The restroom is clean.	Malinis ang banyo.
The bathroom is clean.	Malinis ang banyo.
The comfort room is clean.	Malinis ang banyo.
There are many chemicals in the laboratory.	Maraming kemikal sa laboratoryo.
