Animals are sad when locked up in a cage.	Malungkot ang mga hayop kapag nakakulong ang mga ito sa isang hawla.
Animals cannot live in the city.	Hindi kayang mamuhay ng mga hayop sa siyudad.
Animals possibly have souls.	Maaaring may kaluluwa ang mga hayop.
Animals that float are already dead.	Ang mga lumulutang na hayop ay patay na.
Animals that float are dead.	Ang mga lumulutang na hayop ay patay.
Ants are strong.	Malalakas ang mga langgam.
Ants can carry things fifty times their own weight.	Kaya ng mga langgam na bumuhat ng limampung beses ng kanilang bigat.
Ants eat bread.	Kumakain ng tinapay ang mga langgam.
Ants eat dead animals.	Kumakain ng mga patay na hayop ang mga langgam.
Ants eat sugar.	Kumakain ng asukal ang mga langgam.
Ants have queens.	Mayroong mga reyna ang mga langgam.
Ants have six legs.	May anim na paa ang mga langgam.
Ants have soldiers.	Mayroong mga sundalo ang mga langgam.
Ants have workers.	Mayroong mga trabahador ang mga langgam.
Ants like sweet food.	Mahilig sa matamis na pagkain ang mga langgam.
Ants live underground.	Nakatira sa ilalim ng lupa ang mga langgam.
Apples are delicious.	Masarap ang mga mansanas.
Apples are either colored red or green.	Ang mga mansanas ay pula o berde.
Avocadoes are green.	Berde ang mga abokado.
Bamboos are sturdy.	Matibay ang mga kawayan.
Bamboos could store water.	Nakakaipon ng tubig ang mga kawayan.
Banana peels are slippery.	Madulas ang mga balat ng saging.
Banana trees are not actually trees.	Hindi talaga puno ang mga puno ng saging.
Banana trees are not sturdy.	Hindi matibay ang mga puno ng saging.
Banana trees have large leaves.	Malaki ang mga dahon ng mga puno ng saging.
Bananas are nutritious.	Masustansya ang mga saging.
Bananas are tasty.	Malasa ang mga saging.
Bat wings are flexible.	Nababaluktot ang mga pakpak ng paniki.
Bats are blind.	Bulag ang mga paniki.
Bats like to eat fruits.	Mahilig kumain ng prutas ang mga paniki.
Bats live in caves.	Nakatira sa mga kuweba ang mga paniki.
Bears are studious.	Palaaral ang mga oso.
Bears are stupid.	Tanga ang mga oso.
Bears are tough opponents.	Mahirap na mga kalaban ang mga oso.
Bears cannot drive cars.	Hindi kayang magmaneho ng kotse ang mga oso.
Bears could dig.	Kayang maghukay ng mga oso.
Bears eat fish.	Kumakain ng mga isda ang mga oso.
Bears eat people.	Kumakain ng mga tao ang mga oso.
Bears fight cats.	Linalabanan ng mga oso ang mga pusa.
Bears have no brains.	Walang utak ang mga oso.
Bears like honey.	Mahilig sa pulot ang mga oso.
Bears like to talk.	Mahilig magsalita ang mga oso.
Bears live in the forest.	Nakatira sa gubat ang mga oso.
Bears run faster than humans.	Mas mabilis tumakbo ang mga oso kaysa sa mga tao.
Bears should not be disturbed.	Hindi dapat ginagambala ang mga oso.
Bears sleep in caves.	Natutulog sa kuweba ang mga oso.
Bears store fat in their bodies.	Nagiipon ng taba sa loob ng kanilang katawan ang mga oso.
Bears talk.	Nagsasalita ang mga oso.
Bees are colored yellow.	Kulay dilaw ang mga bubuyog.
Bees are dangerous when disturbed.	Delikado ang mga bubuyog kapag ginambala.
Bees attack people.	Umaatake ng mga tao ang mga bubuyog.
Bees could be poisonous.	Posibleng makamandag ang mga bubuyog.
Bees fly over flowers.	Lumilipad sa taas ng bulaklak ang mga bubuyog.
Bees have queens similar to ants.	Tulad sa mga langgam, may mga reyna ang mga bubuyog.
Bees have queens.	May mga reyna ang mga bubuyog.
Bees like flowers.	Mahilig sa mga bulaklak ang mga bubuyog.
Bees produce honey.	Gumagawa ng pulot ang mga bubuyog.
Bees protect their queen.	Pinagtatanggol ng mga bubuyog ang kanilang reyna.
Bees should not be disturbed.	Hindi dapat ginagambala ang mga bubuyog.
Beware of bears in the forest.	Mag-ingat sa mga oso sa gubat.
Beware of bears.	Mag-ingat sa mga oso.
Birds are talkative.	Madaldal ang mga ibon.
Birds can fly.	Kayang lumipad ng mga ibon.
Birds can sing.	Kayang kumanta ng mga ibon.
Birds can talk.	Kayang magsalita ng mga ibon.
Birds cause danger to airplanes.	Nagdudulot ng panganib ang mga ibon sa mga eroplano.
Birds come from eggs.	Nanggagaling sa mga itlog ang mga ibon.
Birds could fly.	Nakakalipad ang mga ibon.
Birds eat seeds.	Kumakain ng mga buto ang mga ibon.
Birds have feathers.	Mayroong mga balahibo ang mga ibon.
Bulls are aggressive.	Agresibo ang mga toro.
Bulls are mad at the color red.	Galit sa kulay pula ang mga toro.
Bulls have sharp horns.	Mayroong mga matulis na sungay ang mga toro.
Bulls kill people.	Pumapatay ng mga tao ang mga toro.
Butterflies are hard to catch.	Mahirap hulihin ang mga paruparo.
Cabbages are green.	Berde ang mga repolyo.
Cabbages are tasteless.	Walang lasa ang mga repolyo.
Cat's teeth are small.	Maliit ang mga ngipin ng pusa.
Cats are active at night.	Aktibo sa gabi ang mga pusa.
Cats are arrogant.	Arogante ang mga pusa.
Cats are mysterious.	Mahiwaga ang mga pusa.
Cats are not as loyal as dogs.	Hindi kasing tapat ng mga aso ang mga pusa.
Cats are selfish.	Madamot ang mga pusa.
Cats are strong.	Malalakas ang mga pusa.
Cats are visiting the cemetery.	Bumibisita ng sementeryo ang mga pusa.
Cats can see in the dark.	Nakakakita sa dilim ang mga pusa.
Cats do cry.	Umiiyak ang mga pusa.
Cats do not cry.	Hindi umiiyak ang mga pusa.
Cats have nine lives.	May siyam na buhay ang mga pusa.
Cats like milk.	Mahilig sa gatas ang mga pusa.
Cats like the microphone.	Gusto ng mga pusa ang mikropono.
Cats love kittens.	Mahilig sa mga kuting ang mga pusa.
Cats love pineapples.	Mahilig sa mga pinya ang mga pusa.
Cats love to bow.	Mahilig yumuko ang mga pusa.
Cats love to fire arrows.	Mahilig tumira ng mga pana ang mga pusa.
Cats love to hide.	Mahilig magtago ang mga pusa.
Cats prefer to be alone.	Mas gusto ng mga pusa na mag-isa.
Cats rarely cry.	Bihirang umiyak ang mga pusa.
Cats, when angered, are evil.	Ang mga pusa, kapag ginalit, ay masama.
Chicks are yellow.	Dilaw ang mga sisiw.
Clams and oysters are different.	Magkaiba ang mga kabibe at mga talaba.
Coconut oil could be used in cooking.	Puwedeng gamitin sa pagluto ang mantika ng buko.
Coconuts are bad.	Masama ang mga buko.
Coconuts are hard.	Matigas ang mga buko.
Coconuts are plentiful in the Philippines.	Masagana ang mga buko sa Pilipinas.
Coconuts are plentiful.	Masagana ang mga buko.
Coconuts grow on coconut trees.	Tumutubo ang mga buko sa mga puno ng buko.
Cows eat grass.	Kumakain ng damo ang mga baka.
Cows have kidneys.	May mga bato ang mga baka.
Cows have multiple stomachs.	May madaming tiyan ang mga baka.
Cows have teeth made for chewing.	May mga ngiping gawa para ngumuya ang mga baka.
Cows produce milk, which could be made into cheese.	Gumagawa ng gatas ang mga baka, na puwedeng gawing keso.
Cows produce milk.	Gumagawa ng gatas ang mga baka.
Crabs are usually colored red.	Madalas ay kulay pula ang mga alimango.
Crabs could be as large as thirteen feet across.	Puwedeng umabot sa labing-tatlong talampakang pahalang ang isang alimango.
Crabs have shells.	May mga balat ang mga alimango.
Crabs have ten legs.	Mayroong sampung paa ang mga alimango.
Crabs walk sideways.	Naglalakad nang patagilid ang mga alimango.
Dead plants become coal.	Ang mga patay na halaman ay nagiging uling.
Dead plants will become coal.	Ang mga patay na halaman ay magiging uling.
Deers are friendly animals.	Palakaibigan na hayop ang mga usa.
Deers want justice.	Gusto ng mga usa ng hustisya.
Dogs and cats are friends.	Magkaibigan ang mga aso at pusa.
Dogs are expensive to feed.	Mahal pakainin ang mga aso.
Dogs are expensive to take care of.	Mahal alagaan ang mga aso.
Dogs are helpful.	Matulungin ang mga aso.
Dogs are loyal to their master.	Tapat ang mga aso sa kanilang amo.
Dogs are loyal to their masters.	Tapat ang mga aso sa kanilang mga amo.
Dogs are loyal.	Tapat ang mga aso.
Dogs eat vegetables in the room.	Kumakain ng mga gulay ang aso sa kwarto.
Dogs eat vegetables in the room.	Kumakain ng mga gulay sa kwarto ang aso.
Dogs evolved from wolves.	Galing sa mga lobo ang mga aso.
Dogs have a strong sense of smell.	Mayroong malakas na pangamoy ang mga aso.
Dogs have intestines.	May mga bituka ang mga aso.
Dogs like to bark.	Mahilig tumahol ang mg aso.
Dogs live near humans.	Nakatira malapit sa mga tao ang mga aso.
Dogs rarely eat.	Bihirang kumain ang mga aso.
Dogs will eat anything.	Kakain ng kahit ano ang mga aso.
Dogs, cats, and rats are types of animals.	Ang mga aso, pusa, at daga ay mga uri ng hayop.
Dogs, when taken care of, are friendly.	Ang mga aso, kapag inalagaan, ay palakaibigan.
Doves and crows are mortal enemies.	Mortal na magkaaway ang mga kalapati at ang mga uwak.
Dried leaves are not colored green.	Hindi kulay berde ang mga natuyong mga dahon.
Ducks and geese look alike.	Magkamukha ang mga gansa at ang mga pato.
Ducks are beautiful.	Maganda ang mga pato.
Elephants are scared of mice.	Takot sa mga daga ang mga elepante.
Elephants are scared of rats.	Takot sa mga daga ang mga elepante.
Elephants can paint.	Kayang magpinta ng mga elepante.
Female lions are better than male lions.	Mas magaling kaysa sa mga lalaking liyon ang mga babaing liyon.
Female lions are protective of their young.	Mapagtanggol sa kanilang mga bata ang mga babaing liyon.
Fireflies are eaten by crocodiles.	Kinakain ng mga buwaya ang mga alitaptap.
Fireflies are noticeable at night.	Halata ang mga alitaptap sa gabi.
Fires could start in the forest.	Puwedeng magsimula ang apoy sa gubat.
Fish live in the sea.	Nakatira sa dagat ang mga isda.
Fish swim fast.	Mabilis lumangoy ang mga isda.
Flies are larger than mosquitoes.	Mas malaki sa mga lamok ang mga langaw.
Flies fly.	Lumilipad ang mga langaw.
Flowers are colorful.	Makulay ang mga bulaklak.
Flowers are found in gardens.	Matatagpuan ang mga bulaklak sa mga hardin.
Flowers are fragrant.	Mabango ang mga bulaklak.
Flowers are given to loved ones.	Binibigay sa mga minamahal ang mga bulaklak.
Flowers are necessary for the environment.	Mahalaga ang mga bulaklak sa kapaligiran.
Flowers are smaller than trees.	Mas maliit sa puno ang mga bulaklak.
Flowers are visited by insects.	Dinadalaw ng mga insekto ang mga bulaklak.
Flowers are weird.	Kakaiba ang mga bulaklak.
Flowers cannot move.	Hindi nakakagalaw ang mga bulaklak.
Flowers could become fruits.	Puwedeng maging prutas ang mga bulaklak.
Flowers die.	Namamatay ang mga bulaklak.
Flowers smell good.	Mabango ang mga bulaklak.
Frogs are different from snakes.	Iba sa mga ahas ang mga palaka.
Frogs create warts.	Gumagawa ng mga kulugo ang mga palaka.
Frogs eat mosquitoes.	Kumakain ng mga lamok ang mga palaka.
Frogs have long tongues.	May mahabang dila ang mga palaka.
Frogs spit poison.	Dumudura ng lason ang mga palaka.
Frogs with bright colors are poisonous.	Makamandag ang mga palaka na may mga matingkad na kulay.
Fruits could be made into wine.	Puwedeng gawing alak ang mga prutas.
Goats have horns.	May mga sungay ang mga kambing.
Goats produce a different kind of milk.	Gumagawa ng ibang klaseng gatas ang mga kambing.
Grapes could be made into wine.	Puwedeng gawing alak ang mga ubas.
Grass grows everywhere.	Tumutubo kahit saan ang mga damo.
Grass is eaten by various animals.	Kinakain ng iba-ibang uri ng hayop ang mga damo.
Grass is green.	Berde ang mga damo.
