My uncle is looking for a medium blue shirt.	Naghahanap yung tiyuhin ko ng katamtaman na bughaw na kamisa.
My niece is looking for a small blue watch.	Naghahanap yung babaeng pamangkin ko ng maliit na bughaw na relos.
My mother is looking for large yellow clothes.	Naghahanap yung inay ko ng malaking dilaw na kasuotan.
My aunt is looking for a medium green shirt.	Naghahanap yung tiyahin ko ng katamtaman na berde na kamisa.
My nephew is looking for small black shorts.	Naghahanap yung lalaking pamangkin ko ng maliit na itim na korto.
My niece is looking for a medium green pajama.	Naghahanap yung babaeng pamangkin ko ng katamtaman na berde na pangtulog.
My uncle is looking for small red pants.	Naghahanap yung tiyuhin ko ng maliit na pula na salawal.
My aunt is looking for small brown shoes.	Naghahanap yung tiyahin ko ng maliit na kayumanggi na sapatos.
I like to buy three small avocados.	Gusto kong bumili ng tatlong maliit na abokado.
My uncle is looking for a large grey pajama.	Naghahanap yung tiyuhin ko ng malaking kulay-abo na pangtulog.
My nephew is looking for a medium white shirt.	Naghahanap yung lalaking pamangkin ko ng katamtaman na puti na kamisa.
My nephew is looking for a large blue pajama.	Naghahanap yung lalaking pamangkin ko ng malaking bughaw na pangtulog.
I like to buy six big jackfruits.	Gusto kong bumili ng anim na malaking langka.
My mother is looking for large red shoes.	Naghahanap yung inay ko ng malaking pula na sapatos.
My niece is looking for a medium grey watch.	Naghahanap yung babaeng pamangkin ko ng katamtaman na kulay-abo na relos.
I like to buy seven small potatoes.	Gusto kong bumili ng pitong maliit na patatas.
I like to buy four big taros.	Gusto kong bumili ng apat na malaking gabi.
My father is looking for large white pants.	Naghahanap yung itay ko ng malaking puti na salawal.
My uncle is looking for small white shoes.	Naghahanap yung tiyuhin ko ng maliit na puti na sapatos.
My aunt is looking for medium violet shoes.	Naghahanap yung tiyahin ko ng katamtaman na byoleta na sapatos.
My father is looking for a medium brown watch.	Naghahanap yung itay ko ng katamtaman na kayumanggi na relos.
My father is looking for a small green shirt.	Naghahanap yung itay ko ng maliit na berde na kamisa.
My sister is looking for medium brown shoes.	Naghahanap yung kapatid na babae ko ng katamtaman na kayumanggi na sapatos.
My sister is looking for large orange shoes.	Naghahanap yung kapatid na babae ko ng malaking kulay-dalandan na sapatos.
My aunt is looking for a medium magenta shirt.	Naghahanap yung tiyahin ko ng katamtaman na magenta na kamisa.
My niece is looking for a medium brown watch.	Naghahanap yung babaeng pamangkin ko ng katamtaman na kayumanggi na relos.
My aunt is looking for small grey shorts.	Naghahanap yung tiyahin ko ng maliit na kulay-abo na korto.
My sister is looking for small orange clothes.	Naghahanap yung kapatid na babae ko ng maliit na kulay-dalandan na kasuotan.
I like to buy nine big chayotes.	Gusto kong bumili ng siyam na malaking sayote.
I like to buy four big okras.	Gusto kong bumili ng apat na malaking okra.
My mother is looking for medium red pants.	Naghahanap yung inay ko ng katamtaman na pula na salawal.
My uncle is looking for small grey shorts.	Naghahanap yung tiyuhin ko ng maliit na kulay-abo na korto.
My mother is looking for small black pants.	Naghahanap yung inay ko ng maliit na itim na salawal.
My father is looking for a large yellow bag.	Naghahanap yung itay ko ng malaking dilaw na maletin.
I like to buy eight big chickens.	Gusto kong bumili ng walong malaking manok.
I like to buy seven big fruits.	Gusto kong bumili ng pitong malaking prutas.
My aunt is looking for medium red shorts.	Naghahanap yung tiyahin ko ng katamtaman na pula na korto.
My uncle is looking for a medium yellow pajama.	Naghahanap yung tiyuhin ko ng katamtaman na dilaw na pangtulog.
My niece is looking for a small grey watch.	Naghahanap yung babaeng pamangkin ko ng maliit na kulay-abo na relos.
I like to buy ten big cottonfruits.	Gusto kong bumili ng sampung malaking santol.
My aunt is looking for small white shoes.	Naghahanap yung tiyahin ko ng maliit na puti na sapatos.
My sister is looking for a large pink shirt.	Naghahanap yung kapatid na babae ko ng malaking pink na kamisa.
My brother is looking for a small red sweater.	Naghahanap yung lalaking kapatid ko ng maliit na pula na panglamig.
My nephew is looking for a large black bag.	Naghahanap yung lalaking pamangkin ko ng malaking itim na maletin.
My sister is looking for a medium violet bag.	Naghahanap yung kapatid na babae ko ng katamtaman na byoleta na maletin.
I like to buy nine big onions.	Gusto kong bumili ng siyam na malaking sibuyas.
I like to buy seven big mushrooms.	Gusto kong bumili ng pitong malaking kabute.
My aunt is looking for a small black pajama.	Naghahanap yung tiyahin ko ng maliit na itim na pangtulog.
I like to buy three big soursops.	Gusto kong bumili ng tatlong malaking guyabano.
My father is looking for medium blue clothes.	Naghahanap yung itay ko ng katamtaman na bughaw na kasuotan.
My niece is looking for a large white bag.	Naghahanap yung babaeng pamangkin ko ng malaking puti na maletin.
My uncle is looking for a small brown watch.	Naghahanap yung tiyuhin ko ng maliit na kayumanggi na relos.
My brother is looking for a large magenta pajama.	Naghahanap yung lalaking kapatid ko ng malaking magenta na pangtulog.
My nephew is looking for a small cyan shirt.	Naghahanap yung lalaking pamangkin ko ng maliit na cyan na kamisa.
My father is looking for small blue shorts.	Naghahanap yung itay ko ng maliit na bughaw na korto.
My nephew is looking for large white pants.	Naghahanap yung lalaking pamangkin ko ng malaking puti na salawal.
My niece is looking for large orange pants.	Naghahanap yung babaeng pamangkin ko ng malaking kulay-dalandan na salawal.
My mother is looking for a medium red shirt.	Naghahanap yung inay ko ng katamtaman na pula na kamisa.
My nephew is looking for medium cyan shoes.	Naghahanap yung lalaking pamangkin ko ng katamtaman na cyan na sapatos.
My nephew is looking for small blue shoes.	Naghahanap yung lalaking pamangkin ko ng maliit na bughaw na sapatos.
Do you sell postcards?	nagbebenta ka ba ng mga postkard?
My mother is looking for a large brown bag.	Naghahanap yung inay ko ng malaking kayumanggi na maletin.
My brother is looking for large pink shoes.	Naghahanap yung lalaking kapatid ko ng malaking pink na sapatos.
My nephew is looking for a small pink sweater.	Naghahanap yung lalaking pamangkin ko ng maliit na pink na panglamig.
My father is looking for a small brown watch.	Naghahanap yung itay ko ng maliit na kayumanggi na relos.
My nephew is looking for a medium cyan pajama.	Naghahanap yung lalaking pamangkin ko ng katamtaman na cyan na pangtulog.
My mother is looking for large black shorts.	Naghahanap yung inay ko ng malaking itim na korto.
My niece is looking for a medium magenta shirt.	Naghahanap yung babaeng pamangkin ko ng katamtaman na magenta na kamisa.
I like to buy ten small chili peppers.	Gusto kong bumili ng sampung maliit na sili.
My uncle is looking for a medium cyan pajama.	Naghahanap yung tiyuhin ko ng katamtaman na cyan na pangtulog.
My nephew is looking for small black clothes.	Naghahanap yung lalaking pamangkin ko ng maliit na itim na kasuotan.
My niece is looking for a large magenta shirt.	Naghahanap yung babaeng pamangkin ko ng malaking magenta na kamisa.
I like to buy five big durians.	Gusto kong bumili ng limang malaking durian.
My nephew is looking for medium red shorts.	Naghahanap yung lalaking pamangkin ko ng katamtaman na pula na korto.
My nephew is looking for a small pink watch.	Naghahanap yung lalaking pamangkin ko ng maliit na pink na relos.
My uncle is looking for large yellow pants.	Naghahanap yung tiyuhin ko ng malaking dilaw na salawal.
I like to buy ten big sapodilla.	Gusto kong bumili ng sampung malaking chico.
I like to buy nine big bitter gourd.	Gusto kong bumili ng siyam na malaking ampalaya.
My mother is looking for a small magenta watch.	Naghahanap yung inay ko ng maliit na magenta na relos.
My niece is looking for large green shoes.	Naghahanap yung babaeng pamangkin ko ng malaking berde na sapatos.
My uncle is looking for a medium cyan sweater.	Naghahanap yung tiyuhin ko ng katamtaman na cyan na panglamig.
My aunt is looking for medium orange shoes.	Naghahanap yung tiyahin ko ng katamtaman na kulay-dalandan na sapatos.
My sister is looking for medium blue shoes.	Naghahanap yung kapatid na babae ko ng katamtaman na bughaw na sapatos.
I like to buy seven small eggplants.	Gusto kong bumili ng pitong maliit na talong.
My aunt is looking for medium magenta shorts.	Naghahanap yung tiyahin ko ng katamtaman na magenta na korto.
My aunt is looking for small yellow pants.	Naghahanap yung tiyahin ko ng maliit na dilaw na salawal.
I like to buy a small fish.	Gusto kong bumili ng maliit na isda.
I like to buy four small jackfruits.	Gusto kong bumili ng apat na maliit na langka.
I like to buy two big carrots.	Gusto kong bumili ng dalawang malaking karot.
My aunt is looking for medium white clothes.	Naghahanap yung tiyahin ko ng katamtaman na puti na kasuotan.
I like to buy ten small apples.	Gusto kong bumili ng sampung maliit na mansanas.
I like to buy ten big bitter gourd.	Gusto kong bumili ng sampung malaking ampalaya.
I like to buy two small pineapples.	Gusto kong bumili ng dalawang maliit na pinya.
My uncle is looking for a large orange watch.	Naghahanap yung tiyuhin ko ng malaking kulay-dalandan na relos.
I like to buy nine big bottle gourds.	Gusto kong bumili ng siyam na malaking upo.
My niece is looking for large magenta shorts.	Naghahanap yung babaeng pamangkin ko ng malaking magenta na korto.
My nephew is looking for a small orange pajama.	Naghahanap yung lalaking pamangkin ko ng maliit na kulay-dalandan na pangtulog.
I like to buy two big onions.	Gusto kong bumili ng dalawang malaking sibuyas.
My father is looking for a large yellow sweater.	Naghahanap yung itay ko ng malaking dilaw na panglamig.
My brother is looking for a medium blue pajama.	Naghahanap yung lalaking kapatid ko ng katamtaman na bughaw na pangtulog.
I like to buy ten small soursops.	Gusto kong bumili ng sampung maliit na guyabano.
I like to buy four big cashews.	Gusto kong bumili ng apat na malaking kasoy.
My uncle is looking for large pink shoes.	Naghahanap yung tiyuhin ko ng malaking pink na sapatos.
My uncle is looking for a large pink watch.	Naghahanap yung tiyuhin ko ng malaking pink na relos.
I like to buy eight big carrots.	Gusto kong bumili ng walong malaking karot.
I like to buy nine big corns.	Gusto kong bumili ng siyam na malaking mais.
I like to buy two small corns.	Gusto kong bumili ng dalawang maliit na mais.
My sister is looking for a small yellow bag.	Naghahanap yung kapatid na babae ko ng maliit na dilaw na maletin.
My niece is looking for a large grey bag.	Naghahanap yung babaeng pamangkin ko ng malaking kulay-abo na maletin.
My father is looking for a small yellow pajama.	Naghahanap yung itay ko ng maliit na dilaw na pangtulog.
My brother is looking for a medium violet shirt.	Naghahanap yung lalaking kapatid ko ng katamtaman na byoleta na kamisa.
My brother is looking for medium red shorts.	Naghahanap yung lalaking kapatid ko ng katamtaman na pula na korto.
I like to buy seven big tomatoes.	Gusto kong bumili ng pitong malaking kamatis.
I like to buy eight big fishes.	Gusto kong bumili ng walong malaking isda.
My nephew is looking for a large cyan shirt.	Naghahanap yung lalaking pamangkin ko ng malaking cyan na kamisa.
My uncle is looking for a small grey watch.	Naghahanap yung tiyuhin ko ng maliit na kulay-abo na relos.
My nephew is looking for a small violet pajama.	Naghahanap yung lalaking pamangkin ko ng maliit na byoleta na pangtulog.
My mother is looking for a large black sweater.	Naghahanap yung inay ko ng malaking itim na panglamig.
My mother is looking for medium orange pants.	Naghahanap yung inay ko ng katamtaman na kulay-dalandan na salawal.
My niece is looking for a small cyan pajama.	Naghahanap yung babaeng pamangkin ko ng maliit na cyan na pangtulog.
It’s not quite what I wanted.	Ito ay hindi lubos kung ano ang gusto ko.
My uncle is looking for medium grey shorts.	Naghahanap yung tiyuhin ko ng katamtaman na kulay-abo na korto.
My mother is looking for small brown shoes.	Naghahanap yung inay ko ng maliit na kayumanggi na sapatos.
Medium should be fine.	Katamtaman ay sapat na.
I like to buy eight small tomatoes.	Gusto kong bumili ng walong maliit na kamatis.
My sister is looking for medium white shoes.	Naghahanap yung kapatid na babae ko ng katamtaman na puti na sapatos.
My uncle is looking for a large green watch.	Naghahanap yung tiyuhin ko ng malaking berde na relos.
My niece is looking for small black pants.	Naghahanap yung babaeng pamangkin ko ng maliit na itim na salawal.
I like to buy two big potatoes.	Gusto kong bumili ng dalawang malaking patatas.
My niece is looking for large yellow shoes.	Naghahanap yung babaeng pamangkin ko ng malaking dilaw na sapatos.
My mother is looking for medium yellow pants.	Naghahanap yung inay ko ng katamtaman na dilaw na salawal.
I like to buy two big sweet potatoes.	Gusto kong bumili ng dalawang malaking kamote.
My aunt is looking for a small orange shirt.	Naghahanap yung tiyahin ko ng maliit na kulay-dalandan na kamisa.
My father is looking for a medium white bag.	Naghahanap yung itay ko ng katamtaman na puti na maletin.
My brother is looking for a medium pink watch.	Naghahanap yung lalaking kapatid ko ng katamtaman na pink na relos.
My aunt is looking for a large white bag.	Naghahanap yung tiyahin ko ng malaking puti na maletin.
I like to buy five big potatoes.	Gusto kong bumili ng limang malaking patatas.
My brother is looking for a small cyan sweater.	Naghahanap yung lalaking kapatid ko ng maliit na cyan na panglamig.
My mother is looking for large magenta shorts.	Naghahanap yung inay ko ng malaking magenta na korto.
My niece is looking for large black shorts.	Naghahanap yung babaeng pamangkin ko ng malaking itim na korto.
My uncle is looking for a medium orange pajama.	Naghahanap yung tiyuhin ko ng katamtaman na kulay-dalandan na pangtulog.
My sister is looking for a large violet sweater.	Naghahanap yung kapatid na babae ko ng malaking byoleta na panglamig.
My niece is looking for large pink shorts.	Naghahanap yung babaeng pamangkin ko ng malaking pink na korto.
My uncle is looking for a medium red bag.	Naghahanap yung tiyuhin ko ng katamtaman na pula na maletin.
My sister is looking for a medium brown shirt.	Naghahanap yung kapatid na babae ko ng katamtaman na kayumanggi na kamisa.
My brother is looking for medium magenta pants.	Naghahanap yung lalaking kapatid ko ng katamtaman na magenta na salawal.
My uncle is looking for a small red bag.	Naghahanap yung tiyuhin ko ng maliit na pula na maletin.
My aunt is looking for a medium white sweater.	Naghahanap yung tiyahin ko ng katamtaman na puti na panglamig.
I like to buy three small soursops.	Gusto kong bumili ng tatlong maliit na guyabano.
I like to buy three big apples.	Gusto kong bumili ng tatlong malaking mansanas.
My mother is looking for a medium violet bag.	Naghahanap yung inay ko ng katamtaman na byoleta na maletin.
I like to buy seven big bitter gourd.	Gusto kong bumili ng pitong malaking ampalaya.
I like to buy ten small lanzones.	Gusto kong bumili ng sampung maliit na lansones.
