I want to buy this.	Gusto kong bilhin ito.
He has the bad habit of chewing his pencil.	May masamang habit siyang ngumuya sa kanyang lapis.
This is mid-January, 2015.	Ito ay nasa kalagitnaan ng Enero, 2015.
They went around to see the colorful picture.	Sila ay naglibot para makita ang makulay na larawan.
Can you understand English?	Nakakaintindi ka ba ng Ingles?
I miss her so much.	Namimiss ko na siya.
My finger got mild burn from the stove.	Napaso ang daliri ko sa kalan.
It was very peaceful and the sea water was crystal clear.	Napakatahimik dito at malinaw na malinaw ang tubig dagat.
The man admitted having broken into the house.	Inamin ng lalaki na pinasok niya ang bahay.
You're respected by everybody.	Tinitingala ka ng lahat.
I like the color of this flower.	Gusto ko ang kulay ng bulaklak.
Have you ever heard that music played on the guitar?	Narinig mo na ba ang musikang iyan sa gitara?
Finish this.	Tapusin ito.
This can be found in the city of Carmen, Batuan and Sagbayan.	Ito ay matatagpuan sa bayan ng Carmen, Batuan at Sagbayan.
April six is the date today.	Ikaanim ng Abril ang petsa ngayon.
Where is the ginger?	Nasaan ang luya?
I don't have food.	Wala akong pagkain.
It not only helps people to form a better understanding of themselves, their beliefs and their lives, it also provides people with a better understanding of the world in which they live, even if it's beyond their immediate environment.	Hindi lamang ito nakakatulong sa mga tao na magkaroon ng mas mahusay na pag-unawa sa kanilang sarili, sa kanilang mga paniniwala at sa kanilang buhay, nagbibigay din ito ng mga tao na may mas mahusay na pag-unawa sa mundo kung saan sila nakatira, kahit na wala ito sa kanilang agarang kapaligiran.
Could you tell me where I can change my money?	Pwede mo ba ako sabihan kung saan ako pwede magpalit ng pera?
I'll go to Hokkaido next month with my friend.	Sa susunod na buwan, papuntang Hokkaido akong kasama ang kaibigan ko.
Call me at the office.	Tawagan mo ako sa opisina.
My child is really good when it comes to science.	Mahusay ang aking anak pagdating sa agham.
He's very hard working.	Siya ay masipag mag trabaho.
Kittingers record has been broken.	Ang rekord ni Kittinger ay nasira.
We traveled on foot.	Naglakbay kami ng nakapaa.
He pretended to be a doctor.	Nagkunwari siyang doktor.
He likes juice but he doesn't like milk.	Gusto niya ng juice ngunit hindi niya gusto ang gatas.
He always does that for me.	Lagi niya yang ginagawa sa akin.
I am sure.	Sigurado ako.
He was drunk and forgot to shut the back door.	Lasing siya't nakalimutan sarhan ang pinto sa likod.
Can I borrow a chair.	Pahiram ako ng upuan.
Nina tells us how she withstands the sub-zero temperatures of winter in solitude to continue her Buddhist practice.	Sinasabi sa amin ni Nina kung paano niya natitiis ang sub-zero na temperatura sa taglamig ng mag-isa upang ipagpatuloy ang kanyang pagsasanay sa Budismo.
Did they write a letter?	Gumawa ba sila ng sulat?
I wish I were a little taller.	Sana mas matangkad ako nang kaunti.
Whats that?	Ano yan?
Here you will taste the delicious strawberries they also call Preyas.	Dito mo matitikman ang masasarap na strawberry na tinatawag din na Preyas.
I can't eat that.	Hindi ko puwedeng kainin iyan.
How many floors does this hotel have?	Gaano karaming palapag ang mayroon sa hotel na ito?
Is it true that grandfather can drive?	Totoo ba na marunong magmaneho lolo ko?
Just laugh it off.	Itawa mo nalang iyan.
Tom can't drive a car.	Hindi marunong si Tom magmaneho ng kotse.
I live in Solomon Islands.	Nakatira ako sa Kapuluang Solomon.
The Selouss many shallow lakes dramatically stretch and shrink with the rain.	Ang maraming mababaw na lawa ng Selous ay lubos na umaapaw at umuubos sabay ng ulan.
I have no sense of direction so I always travel with a compass.	Wala akong pakiramdam ng direksyon kaya parati akong may dala na compass.
I want to go on a vacation next year in Domnican Republic.	Gusto ko magbakasyon sa susunod na taon sa Republikang Dominikano.
There was a pair of handcuffs on the bed.	May posas sa kama.
April fourteen is the date today.	Ikalabing-apat ng Abril ang petsa ngayon.
Is there a movie theater nearby?	Mayroon bang sinehan sa malapit?
Watch out!	Tumingin ka!
