Battered and fried quail egg is delicious.	Masarap ang kwek-kwek.
You will cook dinner.	Magluluto ka ng gabihan.
Do you think fast food, soda and sweets should be sold in school cafeterias?	Sa tingin mo dapat bang itinda sa mga kainan sa paaralan ang mga mabilisang pagkain, soda, at matatamis?
You sold meats.	Nagbenta ka ng mga karne.
Do you drink 8 glasses of water every day?	Umiinom ka ba ng walong basong tubig sa araw araw?
Will we buy lunch?	Bibili ba kami ng tanghalian?
My sister has a sweet tooth.	Ang aking kapatid na babae ay mahilig sa matamis.
We haven't eaten yet.	Hindi pa kami kumain.
Here, have a taste.	Dito, magkaroon ng panlasa.
Cook the chicken pieces.	Lutuin ang mga piraso ng manok.
Can I cook the rice?	Pwede kong isaing ang kanin?
How delicious!	Ang sarap!
Wow! This food is so great and very tasty!	Wow ang sarap naman nito! Malasang malasa!
What is your opinion of Greek food?	Ano ang palagay mo sa mga pangkaing Griyego?
Am I frying smoked meat?	Nagpiprito ba ako ng tapa?
Serve hot.	Ihain habang mainit.
I can cook chicken adobo.	Kaya kong magluto ng adobong manok.
You will drink our shake.	Iinumin mo ang shake namin.
They will grill the corn.	Iihawin nila ang mais.
Extraordinary food.	Pambihirang pagkain.
She is eating the buko pie.	Kinakain niya ang buko pie.
Who will cook for her?	Sino magluluto para sa kanya?
Is breakfast ready?	Handa na ba ang agahan?
You are eating meats.	Kumakain kayo ng mga karne.
Mary got food-poisoning at Thailand.	Na food-poisoning si Mary sa Thailand.
Milk fish meat is very tender.	Ang laman ng bangus ay napaka lambot.
Please cook rice.	Pakiluto nyo nga ng kanin.
Will I fry smoked fish?	Magpiprito ba ako ng tinapa?
I only eat steak when ir's free.	Kumakain lang ako ng steak kapag libre.
She will sell the chocolates.	Ibebenta niya ang mga tsokolate.
There are a lot of restaurants in our street.	Maraming kainan sa aming kalsada.
I can't eat chicken.	Hindi ako makakain ng manok.
She drank the liquor.	Ininom niya ang alak.
You cooked the supper?	Niluto mo ang hapunan?
You boiled the beef.	Nilaga niyo ang baka.
She is selling the fruits.	Binibenta niya ang mga prutas.
Marinate the beef for one day.	I-marinate ng karne ng baka ng isang araw.
They will drink tea later at lunch.	Iinom sila ng tsaa mamayang tanghalian.
Will I cook beef stew?	Magluluto ba ako ng nilagang baka?
Can I cook rice?	Kaya ko bang iluto ang kanin?
You can fry pork.	Pwede kayong magprito ng karneng baboy.
You will boil egg.	Maglalaga ka ng itlog.
My favorite vegetable is mustard.	Ang paborito kong gulay ay mustasa.
I want to eat gold.	Gusto kong kumain ng ginto.
Salt is used for most foods.	Ang asin ay ginagamit sa karamihan ng pagkain.
She grilled the milkfish.	Inihaw niya ang bangus.
You made cheeses.	Gumawa kayo ng mga keso.
You are cooking rice.	Nagsasaing ka ng bigas.
They are done eating.	Tapos na silang kumain.
That chocolate cheesecake was delicious.	Ang keyk na keso na may tsokolate na iyon ay masarap.
Get some rice from the casserole.	Sumandok ka na ng kanin sa kaldero.
He's eating an apple.	Kumakain siya ng mansanas.
He is finished popcorn.	Tapos na siyang kumain ng popcorn.
We are frying the pork.	Piniprito natin ang baboy.
Don't let Tom eat this.	Huwag hayaang kainin ito ni Tom.
We are frying the fish.	Piniprito natin ang isda.
What is your favorite restaurant?	Ano ang iyong paboritong kainan?
Can I help you cook?	Maaari ko bang tulungan kang magluto?
They are cooking supper.	Nagluluto sila ng hapunan.
You will grill corn.	Mag-iihaw ka ng mais.
He boiled water for hot chocolate.	Pinakuluan niya ang tubig para sa tsokolate.
I can eat six eggs a day.	Kaya kong kumain ng anim na itlog sa isang araw.
He will cook chicken.	Magluluto sya ng manok.
Sometimes, eggplants are color white.	Minsan, kulay puti ang talong.
I will eat the ingredient on the table.	Kakainin ko ang sangkap sa lamesa.
Chill the cured pork for two days.	Palamigin ang tocino sa loob ng dalawa.
I will grind the peppers.	Gigilingin ko ang mga paminta.
Carrots are slightly sweet.	Ang carrot ay medyo matamis.
Do you want ketchup with that?	Gusto mo bang may kasamang ketsap yan?
He has been drank liquors.	Ininoman siya ng mga alak.
Mary eats rabbits.	Si Mary ay nakain ng kuneho.
She will cook supper.	Magluluto siya ng hapunan.
Â½ cup bok choy.	Â½ tasa ng petchay.
This meat smells bad.	Ang karneng ito ay mabaho.
Doesn't it taste good?	Hindi ba masarap ang lasa nito?
We will eat cheap meats.	Kakain kami ng mga murang karne.
You are drinking liquors.	Umiinom kayo ng mga alak.
What's your favorite fish?	Ano ang paborito mong isda?
I can cook pork stew.	Kaya kong magluto ng nilagang baboy.
You sold the brownies.	Binenta ninyo ang mga brownie.
We will sell the chocolates.	Ibebenta namin ang mga tsokolate.
Tom used to drink.	Si Tom ay dating umiinom.
My father is good in cooking dinner.	Ang tatay ko ay masarap magluto ng hapunan.
Why does stew has garlic?	Bakit may bawang ang sinigang?
You know I don't eat meat.	Alam mo hindi ako kumakain ng karne.
I never feed my dog raw meat.	Hindi ko pinapakain ng hilaw na karne ang aking aso.
Rice gruel is easy to digest.	Ang lugaw at madaling tunawin.
We are buying supper.	Bumibili kami ng hapunan.
You can fry garlic.	Kaya nyong magprito ng bawang.
Can you fry the fish?	Kaya mo bang iprito ang isda?
I'll eat here.	Dito ako kakain.
You are frying milkfish.	Nagpiprito ka ng bangus.
We will eat breads.	Kakain kami ng mga tinapay.
Do you like brunch?	Gusto mo ba ng umagahang tanghalian?
We ate breakfast at seven.	Kumain kami ng almusal nang alas-siete.
Tom uses a spoon to eat rice, but Mary prefers to use chopsticks.	Gumagamit si Tomas ng kutsara sa pagkain ng kanin, pero mas gusto ni Maria na gumamit ng chopsticks.
Will they prepare the viand?	Maghahanda ba sila ulam?
Please fry the smoked meat.	Pakiprito nyo nga ang tapa.
Tom doesn't feel like eating.	Si Tom ay walang ganang kumain.
I don't like grilled foods!	Hindi ko gusto ang mga inihaw na pagkain!
I can fry tocino.	Kaya kong magprito ng tosino.
I will eat many chocolates.	Kakain ako ng maraming tsokolate.
I am chopping the vegetables.	Hinahati ko ang mga gulay.
The watermelon is watery.	Ang pakwan ay matubig.
You are drinking your beer.	Iniinom ninyo ang serbesa niyo.
That cake smells sweet.	Ang cake ay amoy matamis.
Ramune soda came from Japan.	Ang Ramune soda ay galing sa Japan.
Hotdog with egg is usually eaten during breakfast.	Ang hotdog na may kasamang itlog ay kadalasang kinakain sa almusal.
We will sell the vegetables.	Ibebenta namin ang mga gulay.
The leaves of pineapples are sharp.	Matatalim ang dahon ng pinya.
This fruit doesn't taste good.	Ang prutas na ito ay hindi lasang mabuti.
You ate the bread.	Kinain mo ang tinapay.
He gace me an eggplant omelette.	Binigyan niya ako ng tortang talong.
Her sister is good in cooking lunch.	Ang ate niya ay masarap magluto ng tanghalian.
He is buying dinner.	Bumibili siya ng hapunan.
You are drinking your cocktail.	Iniinom niyo ang cocktail mo.
Lunch is eaten with coworkers.	Ang tanghalian ay kinakain kasama ang mga katrabaho.
I eat breakfast before work.	Kumakain ako ng almusal bago magtrabaho.
They will chop the apples.	Hihiwain nila ang mga mansanas.
I just sold fruits.	Kabebenta ko lang ng mga prutas.
Please cook soup.	Pakiluto nga ng sabaw.
Will he buy lunch?	Bibili ba siya ng tanghalian?
They will boil sweet potatoes.	Maglalaga sila ng kamote.
You are cooking pork stew.	Nagluluto kayo ng nilagang baboy.
It was all delicious!	Lahat ay masarap!
We ate dinner at seven.	Kumain kami ng hapunan nang alas-siete.
Is he buying breakfast right now?	Bumibili ba siya ng almusal?
You boiled the sweet potatoes.	Nilaga ninyo ang kamote.
I'm eating pepper.	Kumakain ako ng paminta.
The ingredients will be eaten by you.	Ang mga sangkap ay kakainin ninyo.
They fried egg.	Nagprito sila ng itlog.
The boy is eating bread.	Ang batang lalaki ay kumakain ng tinapay.
I ate some potato chips.	Kumain ako ng ilang mga chips ng patatas.
It took you a long time to choose.	Ang tagal mo pumili.
He will cook lunch.	Magluluto siya ng tanghalian.
The cheap meats will be eaten by us.	Ang mga murang karne ay kakainin namin.
I'd never go back to eating meat.	Hindi ako kailanman bumalik sa pagkain ng karne.
You will cook rice.	Magsasaing ikaw ng bigas.
Please cook chicken.	Pakiluto nyo nga ng manok.
We will drink her sarsi.	Iinumin natin ang sarsi niya.
Tom should have been eating more vegetables and not as much meat.	Dapat na kumakain si Tom ng maraming gulay at hindi gaanong karne.
Have you eaten dinner?	Kumain ka na ba ng hapunan?
Tom is also a very good cook.	Si Tom ay isa ring napakahusay na lutuin.
He is steaming the rice.	Sinasaing niya ang bigas.
I cut many cheeses.	Naghati ako ng maraming keso.
The delivery charge for Mcdo is forty pesos.	Apatnapung piso ang pagpadeliver sa Mcdo.
You can marinate the beef for nine hours.	Maaari mong i-marinate ang karne ng baka para sa siyam na oras.
We are boiling the corn.	Nilalaga namin ang mais.
Did I buy lunch?	Bumili ba ako ng tanghalian?
I can fry the hotdog.	Kaya kong iprito ang hotdog.
You just cooked breakfast.	Kakaluto mo lang ng agahan.
You are frying tilapia.	Nagpiprito ka ng tilapia.
She met him for breakfast.	Nagkita sila para sa umagahan.
Do you know the nutritional value of the things you eat every day?	Alam mo ba ang halaga ng nutrisyon ng mga bagay na kinakain mo araw araw?
Can I borrow 20 pesos? I just want to buy Shawarma.	Pwede ba ko mang hiram ng bente pesos? Bibili lang ako ng Shawarma.
You can fry the beef.	Kaya mong iprito ang karneng baboy.
The pepper was eaten by her.	Ang paminta ay kinain niya.
She made the cheeses.	Ginawa niya ang mga keso.
The brownies are being eaten by you.	Ang mga brownie ay kinakain ninyo.
Finish your drink.	Tapusin ang iyong inumin.
She will prepare vegetables.	Maghahanda ako ng mga gulay.
It never occurred to me that Tom might not eat meat.	Hindi ko inakala na baka hindi kumain ng karne si Tomas.
Wash the water spinach.	Hugasan ang kangkong.
I would like to eat.	Gusto kong kumain.
She will boil corn.	Maglalaga siya ng mais.
You are cooking lunch.	Nagluluto kayo ng tanghalian.
There's lots of places where rice is planted in the probince.	Maraming pinagtataniman ng palay sa probinsya.
We sold the brownies.	Binenta namin ang mga brownie.
Can you prepare the ingredients of the dish?	Kaya mo bang ihanda ang sangkap ng ulam?
Serve hot with steamed rice.	Ihain ng mainit na may ksamang kanin.
Guavas are sour.	Maasim ang bayabas.
I ate many chocolates.	Kumain ako ng maraming tsokolate.
They fried chickens.	Nagprito sila ng mga manok.
He got me to buy cheap meat.	Napabili niya ako ng murang karne.
Tom made breakfast.	Gumawa si Tomas ng agahan.
Do you eat lunch at school every day?	Kumakain ka ba ng tanghalian sa paaralan araw araw?
Do you want milk or chocolate?	Gusto mo ba ng gatas o tsokolate?
Can you cook the adobo?	Pwede mong iluto ang adobo?
An example of a king of pancit is pancit habhab.	Isang halimbawa ng pancit ay ang pancit habhab.
It's too tough that I can't chew it.	Masyadong matigas na hindi ko manguya.
Can I cook breakfast?	Kaya ko bang magluto ng umagahan?
Pineapple chicken is my fatherâ€™s favorite dish.	Ang paboritong ulam ng lola ko ay pininyahang manok.
I will drink her sprite.	Iinumin ko ang sprite niya.
I just sold cheap meats.	Kabebenta ko lang ng mga murang karne.
Soy sauce is used for a condiment of crispy pata.	Ang toyo ay ginagamit na sawsawan ng crispy pata.
I ran to class as soon as I finished eating.	Pagkakain ko ay tumakbo na ako papuntang klase.
Let's eat the cookies that you brought.	Kainin na natin ang dala mong cookies.
They are cooking dinner.	Nagluluto sila ng gabihan.
Please prepare the dish.	Pakihanda mo nga ng ulam.
You will sell vegetables.	Magbebenta ka ng mga gulay.
Did they eat the hotdog?	Kinain ba nila ang hotdog?
She is eating the brownie.	Kinakain niya ang brownie.
I'm drinking coffee now.	Umiinom ako ng kape ngayon.
Too much sugar gives diabetes.	Ang sobra-sobrang asukal ay nagbibigay ng diabetes.
You are frying the fish.	Piniprito mo ang isda.
Treat us roasted pig!	Pa lechon ka naman!
What are you eating?	Ano ang kinakain niyo?
She bought breakfast.	Bumili siya ng almusal.
What's the food that you brought?	Ano yang dala mong pagkain?
We will cook the lunch.	Lulutuin namin ang tanghalian.
Can you cook the adobo?	Kaya mo bang iluto ang adobo?
How much does lunch usually cost at school?	Magkano kadalasan ang presyo ng tanghalian sa paaralan?
I already boiled water for coffee.	Nagpakulo na ako ng tubig para sa kape.
I eat breakfast every morning.	Kumakain ako ng almusal tuwing umaga.
Where's my supper?	Nasaan ang aking hapunan?
I'm choking!	Nabibilaukan ako!
We are eating chocolates.	Kumakain kami ng mga tsokolate.
I will fry chicken.	Magpiprito ako ng manok.
They will cook the dinner.	Lulutuin nila ang hapunan.
Let's grill the fish.	Mag-ihaw tayo ng isda.
You are drinking my fruit shake.	Iniinom mo ang fruit shake ko.
It's too spicy for me.	Masyadong maanghang para sa akin.
Her mother is good in cooking breakfast.	Ang nanay niya ay masarap magluto ng agahan.
We have bigger fish to fry.	Mayroon kaming mas malaking isda upang magprito.
She will eat pepper.	Kakain siya ng paminta.
I can cook breakfast.	Kaya kong magluto ng umagahan.
Will I cook adobo?	Magluluto ba ako ng adobo?
The chocolate was eaten by me.	Ang tsokolate ay kinain ko.
You can fry the egg.	Kaya mong iprito ang itlog.
Papaya is a fruit.	Ang papaya ay prutas.
You ate the buko pies.	Kinain niyo ang mga buko pie.
My brother is good in cooking lunch.	Ang kuya ko ay masarap magluto ng tanghalian.
Is the mango sour?	Maasim ba ang mangga?
She is cooking lunch.	Nagluluto sya ng tanghalian.
She will fry the hotdogs.	Piprituhin niya ang mga hotdog.
I haven't finished my breakfast yet.	Hindi ko pa tapos yung almusal ko.
I'm still eating.	Kumakain pa ako.
The fruit is being eaten by me.	Ang prutas ay kinakain ko.
He cooked vegetables.	Nagluto sya ng gulay.
I love boiled eggs.	Gustung-gusto ko ang pinakuluang itlog.
You will sell the brownies.	Ibebenta mo ang mga brownie.
I shouldn't drink.	Hindi ako dapat uminom.
The ingredient was eaten by you.	Ang sangkap ay kinain mo.
Tapsilog, a combination of tapa, fried rice, and egg, is usually eaten during breakfast.	Ang tapsilog, ang magkasamang tapa, sinangag at itlog, ay kadalasang kinakain sa almusal.
Rice is grown in rainy regions.	Ang bigas ay tumutubo sa maulang rehiyon.
Will you buy dinner?	Bibili ba kayo ng hapunan?
She got me to buy liquor.	Napabili niya ako ng alak.
You drank her fruit shake.	Ininom ninyo ang fruit shake niya.
Kindly chop these onions.	Pakihiwa nitong mga sibuyas.
What kind of beverages do you usually drink?	Anong mga inumin ang karaniwan mong iniinom?
We are selling buko pies.	Nagbebenta kami ng mga buko pie.
Can you cook fish?	Kaya mo bang magluto ng isda?
I brought bananas with me today.	May baon akong saging ngayon.
I'm cooking now.	Nagluluto ako ngayon.
She drank our fruit shake.	Ininom niya ang fruit shake namin.
I sometimes cook dinner.	Ako ang minsan na nagluluto ng hapunan.
I can cook the beef stew.	Kaya kong iluto ang nilagang baka.
You cooked the supper?	Niluto niyo ang hapunan?
We cooked the breakfast.	Niluto namin ang agahan.
They are boiling egg.	Naglalaga sila ng itlog.
I'll have rice, miso soup and natto.	Kakain ako ng kanin, sabaw ng miso, at balatong.
You can fry the pork.	Kaya nyong iprito ang karneng baboy.
I have a lot of things I want to eat.	Ang dami kong gustong kainin.
I know quite a few people who don't eat meat.	May mga kilala akong tao na hindi kumakain ng karne.
Can you fry the egg?	Pwede mong iprito ang itlog?
I can cook lunch.	Pwede akong magluto ng tanghalian.
Tom doesn't eat red meat.	Si Tom ay hindi kumain ng pulang karne.
Are you cooking beef?	Nagluluto ka ba ng karneng baka?
Did he have sandwiches for breakfast?	Kumain ba siya ng mga sandwich para sa almusal?
The honey is sweet.	Ang pulot ay matamis.
Tom doesn't eat much meat.	Hindi kumakain si Tom ng gaanong karne.
Did they cook dinner?	Nagluto ba sila ng gabihan?
I will grill the milkfish.	Iihawin ko ang bangus.
Grilled squid is easy to prepare.	Ang inihaw na pusit ay madaling ihanda.
Am I frying chicken?	Nagpiprito ba ako ng manok?
You can cook pork adobo.	Kaya mong magluto ng adobong baboy.
He is buying breakfast.	Bumibili siya ng agahan.
Sweet viands.	Matamis na mga ulam.
We had breakfast.	Kumain kami ng almusal.
Please cook the rice.	Pakisaing mo nga ang kanin.
There are cheap meats that sister bought in the refridgerator.	May murang karne na binili si ate sa ref.
Tom doesn't like eating fish.	Hindi gusto ni Tom ang pagkain ng isda.
How to cook pork adobo?	Paano magluto ng adobong baboy?
Have all your cheeses been bought?	Nabili na ba lahat ng keso mo?
We drank lemon, orange, and carrot shake at the Area 2.	Uminom kami ng limon, kahel, at karot sheyk sa Area 2.
We stopped for dinner at a local restaurant.	Kumain kami ng hapunan sa isang lokal na restawran.
She threw away the spoiled food.	Tinapon niya ang sirang pagkain.
Let's watch a movie while eating popcorn.	Manood tayo ng sine habang kumakain ng popcorn.
â…” cup heart of banana.	â…” tasa ng puso ng saging.
Do you know how to fry eggs?	Marunong ka bang magprito ng itlog?
Do you know a good place to have supper?	May alam ka bang magandang kainan ng hapunan?
Do you read the nutritional information on the foods you buy?	Binabasa mo ba ang impormasyon tungkol sa nutrisyon sa mga pagkaing iyong binibili?
We experimented on the marshmalows at home.	Pinag-experimentohan namin ang mga marshmallow sa bahay.
You are eating the brownies.	Kinakain ninyo ang mga brownie.
