I have a headache.	Masakit ulo ko.
I have a cough.	May ubo ako.
I went to the hospital.	Pumunta akong ospital.
I'm going to the hospital.	Pupunta akong ospital.
I'm gaining weight.	Tumataba ako.
I have poor eyesight.	Malabo na ang mga mata ko.
I have colds.	May sipon ako.
I have colds for two weeks.	Dalawang linggo na akong sinisipon.
I have colds for three days.	Tatlong araw na akong may sipon.
I'm not feeling well.	Masama ang pakiramdam ko.
I need to buy medicine.	Kailangan ko bumili ng gamot.
I have no more medicine.	Ubos na ang gamot ko.
I bought medicine.	Bumili ako ng gamot.
I'm buying medicine.	Bumilibili ako ng gamot.
The local government will stop giving free rabies vaccination on Wednesdays.	Ititigil na ng lokal na pamahalaan ang pamimigay ng libreng bakuna kontra rabies simula sa Miyerkoles.
Three hundred more vaccines remain on government records but more than 100 bitten by dogs and cats go to the health office every day for free treatment.	Tatlong daang bakuna na lamang kasi ang natitira sa tala ng pamahalaan ngunit aabot pa sa 100 na nakagat ng mga aso at pusa ang pumupunta sa health office kada araw para sa libreng ineksyon.
Beginning tomorrow they must buy their own vaccine.	Simula bukas ay kailangan na nilang bumili ng sariling bakuna.
According to the Department of Health, the delivery of rabies vaccines was delayed from April to June this year.	Ayon sa Department of Health, naantala ang paghahatid ng mga bakuna laban sa rabies mula Abril hanggang Hunyo ngayong taon.
However, some residents may not be eligible for vaccination if it is not free.	Ngunit giit ng ilang residente, baka hindi na lamang sila magpabakuna kontra rabies kung hindi ito libre.
He struggled with depression after watching his mother's attempted suicide.	Nakipaglaban siya sa depresyon matapos panoorin ang pagtatangka ng kanyang ina na magpakamatay.
Depression never discriminates.	Ang depresyon ay hindi nagpapakita ng diskriminasyon.
Depression is dangerous.	Delikado ang depresyon.
How to prevent sunburn?	Paano maiiwasan ang sunburn?
Sunburn is the reaction of the skin when exposed to sunlight.	Sunburn ay ang reaksiyon ng balat kapag sobrang nabilad sa sikat ng araw.
Sunburn hurts.	Masakit ang sunburn.
When going to the beach you need to take care of your skin.	Kapag pupunta sa dalampasigan kailangan ingatan ang iyong balat.
Juan is sick.	May sakit si Juan.
His skin became darker after swimming in the sea.	Umitim ang balat niya pagkatapos lumangoy sa dagat.
He experienced cramps while swimming.	Pinulikat siya habang lumalangoy.
He is experiencing cramps.	Pinupulikat siya ngayon.
He swam even if he is not feeling well.	Lumangoy siya kahit masama ang pakiramdam.
Swimming is a good exercise.	Magandang ehersisyo ang paglangoy.
You can drink coffee to stay awake.	Pwede kang uminom ng kape para magising.
There are studies saying that drinking coffee is good for the health.	May mga pagaaral na nagsasabing maganda sa kalusugan ang paginom ng kape.
He can't sleep because he drank coffee.	Hindi siya makatulog dahil uminom siya ng kape.
The leading cause of death in the world is heart disease.	Ang nangungunang sanhi ng pagkamatay sa mundo ay sakit sa puso.
Companies are saying that their product are protecting the eyes from the harmful effects of using the computer.	May mga kompanyang nagsasabi na ang produkto nila ay pinoprotektahan ang mata mula masasamang epekto ng paggamit ng kompyuter.
His eyesight got blurred because of playing computer games.	Lumabo ang kanyang paningin dahil sa paglalaro ng kompyuter.
He is still you but he already needs to wear eyeglasses.	Bata pa lamang siya ngunit kailangan na niya magsalamin.
He can't read what is written without glasses.	Hindi na niya mabasa ang nakasulat kapag walang salamin.
He became blind.	Siya ay nabulag.
His eyesight is becoming poor.	Lumalabo na ang kanyang paningin.
His eyes have good vision.	Malinaw ang mga mata niya.
His eyes are painful.	Mahapdi ang mata niya.
His wound is bleeding.	Dumudugo ang sugat niya.
The wound needs to be stitched.	Kailangan tahiin ang sugat.
His wound is now healing.	Gumagaling na ang sugat niya.
His wound is now healed.	Magaling na ang sugat niya.
His wound is painful.	Masakit ang sugat niya.
His wound is getting more painful.	Sumasakit ang sugat niya lalo.
He got his wound after playing.	Nagkaroon siya ng sugat pagkatapos maglaro.
He got wounded in his feet.	Nagkasugat siya sa paa.
He was given medicine because of his wound.	Pinainom siya ng gamot dahil sa sugat niya.
His vitamins is not enough that is why his eyesight is becoming poor.	Kulang siya sa bitamina kaya lumalabo ang mata.
His illness is getting worse.	Lumulubha ang kanyang karamdaman.
He has wound in his hand.	May sugat siya sa kamay.
His arms are weak already.	Mahina na ang kanyang mga braso.
He is becoming weaker.	Lalo siyang humihina.
His immune system is weak.	Mahina ang kanyang resistensya.
He gets sick easily.	Madali siyang magkasakit.
He has skin disease.	May sakit siya sa balat.
He has heart disease.	May sakit siya sa puso.
He has bone fracture.	May pilay siya.
His head is aching.	Sumasakit ang ulo niya.
Buy medicine for headache.	Bumili kang gamot para sa sakit ng ulo.
Did you buy grandma's medicine?	Bumili ka ba ng gamot ni lola?
Did you buy your medicine?	Bumili ka bang gamot mo?
How much is your medicine?	Magkano ang gamot mo?
I don't need medicines anymore.	Hindi ko na kailangan ng gamot.
I already bought medicine.	Bumili na akong gamot.
I will buy medicine.	Bibili akong gamot.
That drug is new.	Bago ang gamot na iyan.
Are you taking medicine?	Naggagamot ka ba?
Are you taking medicine for that?	Nagagamot ka ba para dyan?
Have you taken your medicine?	Uminom ka na ba ng gamot?
Take your medicine.	Uminom ka na ng gamot.
I will take medicine.	Iinom ako ng gamot.
There's no cure for this disease yet.	Wala pang gamot para sa sakit na ito.
This disease is dangerous.	Delikado ang sakit na ito.
This disease is fatal.	Nakamamatay ang sakit na ito.
The disease already spread.	Kumalat na ang sakit.
The disease is spreading in Manila.	Kumakalat na ang sakit sa Maynila.
He found out that he has cancer.	Nalaman niyang siya ay may kanser.
He cried when the doctor told him that he has cancer.	Naiyak siya pagkatapos sabihin ng doktor na siya ay may kanser.
Tears dropped from his eyes after talking to the doctor.	Tumulo ang luha sa kanyang mata pagkatapos kausapin ang doktor.
That disease is not contagious.	Hindi naman nakakahawa ang sakit na iyan.
That disisease is contagious.	Nakakahawa ang sakit na iyan.
Don't come near because you might get infected.	Wag kang lumapit at baka mahawa ka.
I got sick because of you.	Nagkasakit ako dahil sayo.
You got sick because of me.	Nahawa ka na sa akin.
That disease will spread.	Kakalat ang sakit na yan.
You will surely get sick.	Siguradong magkakasakit ka.
What if I get sick.	Paano kung magkasakit ako.
I might get sick tomorrow.	Magkakasakit ata ako bukas.
I will get sick because of you.	Magkakasakit ako dahil sa iyo.
Is your disease contagious?	Nakakahawa ba ang sakit mo?
You will get sick if you come near.	Mahahawa ka sakin kapag lumapit ka.
Go to the doctor.	Pumunta ka na sa doktor.
It seems that your sick.	Mukhang may sakit ka nga.
You seem to have fever.	Nilalagnat ka ata.
You are hot.	Mainit ka.
Ouch!	Aray!
It hurts!	Masakit!
Lack of sleep is bad for your health.	Masama sa kalusugan ang pagpupuyat.
You will get sick if you don't stop that.	Magkakasakit ka kapag hindi mo tinigil iyan.
That is bad for your health.	Masama sa iyong kalusugan iyan.
He is trying to lose weight.	Siya ay nagpapapayat.
She is trying to lose weight.	Siya ay nagpapapayat.
It is hard to lose weight.	Mahirap magpapayat.
He lost weight.	Pumayat na siya.
She lost weight.	Pumayat na siya.
He is losing weight.	Pumapayat na siya.
She is losing weight.	Pumapayat na siya.
For a long time researchers thought the brain is not making new cells.	Sa loob ng mahabang panahon, inakala ng mga mananaliksik na ang utak ay hindi gumagawa ng mga bagong cell.
The brain is making new cells.	Ang utak ay gumagawa ng mga bagong cell.
Human brain is making new cells.	Ang utak ng tao ay gumagawa ng mga bagong cell.
As a person age, his brain cells are dying.	Habang tumantanda ang isang tao, ang mga cells sa kanyang utak ay namamatay.
Nerve connections are destroyed resulting to loss of memory.	Nasisira ang mga koneksyon ng mga nerve cells kaya naman nawawala ang ilang memorya.
Nerve connections are destroyed resulting to loss of memory.	Nasisira ang mga koneksyon ng mga nerve cells kaya naman nawawala ang ilang alaala.
The scientists discovered that the brain are making new cells.	Nadiskubre ng mga siyentipiko na ang utak ay gumagawa ng bagong cell.
Scientists are studying how the brain works.	Pinag-aaralan ng mga siyentipiko kung paano gumagana ang utak.
But why does cognitive functions decline over time?	Ngunit bakit ang pagiisip ay humihina pa rin sa paglipas ng panahon?
Boldrini and her team studied the brains of 28 healthy people who had died suddenly of accidents.	Boldrini at ang kanyang pangkat ay pinag-aralan ang utak ng 28 na malulusog na tao na namatay biglaan sa isang aksidente.
People ranged ranged in age from 14 to 79 years old.	Ang mga tao ay may edad na labing-apat hanggang pitumpo't siyam na taong gulang.
Exercising helps to make the brain healthy.	Ang pageehersisyo ay nakatutulong upang mapanatiing malusog ang utak.
Exercising helps improve blood flow in the brain.	Ang pageehersisyo ay nakatutulong upang mapabuti ang daloy ng dugo sa utak.
He was adviced by the doctor to exercise.	Pinayuhan siya ng doktor na magehersisyo.
She was adviced by the doctor to exercise.	Pinayuhan siya ng doktor na magehersisyo.
Long use of computer results to poor posture.	Ang matagal na paggamit ng kompyuter ay nagreresulta sa hindi magandang pustura.
Long use of computer results to poor posture.	Ang matagal na paggamit ng kompyuter ay nagdudulot ng hindi magandang pustura.
We are living in times where we are always slouching.	Nakatira tayo ngayon sa panahon na tayo ay laging nakayukod.
We are always sitting that is why our body is getting used to slouching.	Lagi tayong nakaupo kaya nasasanay ang katawan natin na yumukod.
You are always sitting which is bad.	Masama iyang lagi kang nakaupo.
Our posture affects how we think.	Ang ating postura ay nakakaapekto sa ating pagiisip.
Posture affects emotion.	Ang postura ay nakakaapekto sa emosyon.
You will have hard time breathing if you have bad posture.	Mahihirapan kang huminga kung mali ang postura mo.
Good posture boosts your confidence.	Magandang postura ay nagpapataas ng kumpiyansa.
Good posture is needed to avoid getting hurt.	Maayos na postura ay kailangan upang maiwasan ang masaktan.
He now has good posture.	Maayos na ang postura niya.
She now has good posture.	Maayos na ang postura niya.
His posture is now improving.	Umaayos na ang postura niya.
Her posture is now improving.	Umaayos na ang postura niya.
Do I have good posture?	Maayos ba ang postura ko?
Good posture is important.	Mahalaga ang maayos na postura.
How can I improve my posture?	Paano ko aayusin ang aking postura?
How will you improve your posture?	Paano mo aayusing ang iyong postura?
There are exercise you can do to correct your posture.	May mga ehersisyong pwede mong gawin para ayusin ang iyong postura.
Pulling exercises are good to correct posture.	Ang mga ehersisyong na pahila ay maganda upang maayos ang postura.
Coffee sellers should tell the consumers that coffee has chemical that can cause cancer.	Ang mga nagtitinda ng kape ay dapat ipaalam sa mga mamimili na may kemikal dito na maaring magresulta sa kanser.
Coffee has antioxidants that help avoid getting cancer.	Ang kape ay may antioxidants na nakakatulong upang maiwasan ang pagkakaroon ng kanser.
Coffee helps to avoid getting diabetes.	Ang kape ay nakatutulong na makaiwas sa sakit na diabetes.
Don't rush yourself in exercising.	Wag mong biglain ang sarili mo sa pageehersisyo.
You should slowly train your body to exercise.	Dapat dahan-dahan lang na sinasanay mo ang katawan mo sa pageehersisyo.
Make sure that water in the body is replenished when sweating.	Siguraduhing napapalitan ang tubig sa katawan kapag pinapawisan.
Don't forget to drink water.	Wag kalimutang uminom ng tubig.
It is important to rest after exercising.	Mahalagang magpahinga pagkatapos magehersisyo.
Rest is as important as exercise.	Ang pahinga ay kasing halaga ng pageehersisyo.
Enough rest is needed to avoid injury.	Kailangan ng sapat na pahinga upang maiwasan ang pinsala sa katawan.
I will exercise later.	Mageehersisyo ako mamaya.
This walk is already enough for today's exercise.	Sapat na tong lakad ko na ehersisyo ngayong araw.
My legs are tired of running.	Masakit ang hita ko sa pagtakbo.
I got tired because of that.	Napagod ako dun.
That is tiring.	Nakakapagod naman yan.
This is tiring.	Nakakapagod pala ito.
This game is tiring.	Nakakapagod itong larong to.
You made me tired.	Pinagod mo ko.
Are you tired?	Pagod ka na?
I am not yet tired.	Hindi pa ako pagod.
I am very tired.	Pagod na pagod na ako.
