English	Filipino
I seldom see him.	Minsan ko lang siya nakikita.
Tom seldom laughs.	Minsan lang tumatawa si Tom.
Tom is seldom late.	Minsan lang nahuhuli si Tom.
Nancy seldom smiles.	Minsan lang ngumingiti si Nancy.
She seldom goes out.	Minsan lang siya lumalabas.
Tom seldom goes out.	Minsan lang lumalabas si Tom.
He seldom went there.	Minsan lang siya pumupunta doon.
Tom seldom gets angry.	Minsan lang nagagalit si Tom.
Tom seldom wears a hat.	Minsan lang nagsusuot ng sumbrero si Tom.
My father seldom smokes.	Minsan lang naninigarilyo ang tatay ko.
Tom seldom eats at home.	Minsan lang kumakain si Tom sa bahay.
Tom seldom eats seafood.	Minsan lang kumakain ng seafood si Tom.
Barking dogs seldom bite.	Minsan lang nangangagat ang mga tumatahol na aso.
Tom seldom drinks coffee.	Minsan lang umiinom ng kape si Tom.
Tom seldom eats red meat.	Minsan lang kumakain si Tom ng red meat.
We seldom have snow here.	Minsan lang nagkakaniyebe dito.
Tom seldom speaks to Mary.	Minsan lang nakikpag-usap si Tom kay Mary.
Tom seldom wins arguments.	Minsan lang nanalo si Tom sa mga pagtatalo.
I seldom eat dairy products.	Minsan lang ako kumakain ng dairy products.
I seldom watch documentaries.	Minsan lang ako nanonoodng mga dokyumentaryo.
He seldom orders anything new.	Minsan lang siya umoorder ng kahit anong bago.
Tom is seldom late for school.	Minsan lang nahuhuli si Tom sa klase.
Tom seldom breaks his promise.	Minsan lang hindi tinutupad ni Tom ang kanyang pangako.
Tom seldom goes out on Monday.	Minsan lang umaalis si Tom kapag Lunes.
Tom seldom eats with his family.	Minsan lang kumakain si Tom kasama ang kanyang pamilya.
He seldom, if ever, reads a book.	Minsan lang, kung sakali, siya nagbabasa ng libro.
Tom and Mary seldom eat together.	Minsan lang kumakain na magkasama si Tom at Mary.
Tom seldom laughed at Mary's jokes.	Minsan lang tumatawa si Tom sa mga joke ni Mary.
Tom is seldom late for appointments.	Minsan lang nahuhuli si Tom sa mga appointment.
Tom seldom bothers to comb his hair.	Minsan lang nag-aabala si Tom na suklayin ang kanyang buhok.
