My job is to help people.	Ang trabaho ko ay tumulong sa tao.
My name is Jon.	Ang pangalan ko ay Jon.
My name is not Tim.	Ang pangalan ko ay hindi Tim.
He runs.	Tumatakbo siya.
He is running.	Tumatakbo siya ngayon.
She sings.	Kumakanta siya.
I like climbing.	Mahilig ako umakyat.
Fran is sad.	Malungkot si Fran.
My cat is black.	Ang aking pusa ay itim.
Dogs are cute.	Maganda ang mga aso.
He is eight years old.	Siya ay walong taong gulang.
The sky is blue.	Kulay asul ang langit.
He loves pizza.	Mahilig siya sa pizza.
The car is white.	Kulay puti ang sasakyan.
Ice is cold.	Malamig ang yelo.
He wanted to play football.	Gusto niya maglaro ng football.
Marie loves the beach.	Mahal ni Marie ang dagat.
She plays the piano.	Mahilig siya sa piano.
She had to make the next flight.	Kailangan niya makaabot sa susunod na lipad ng eroplano.
He quickly packed her bag.	Mabilis niyang inayos ang kanyang bag.
The house has new windows.	May bagong mga bintana ang bahay.
However, the roof still leaks.	Ngunit, may butas pa rin ang bubong.
It had rained for days.	Ilang araw nang umuulan.
The town was flooded.	Ang bayan ay binaha.
Did he eat lunch?	Kumain ba siya ng tanghalian?
He ate lunch.	Kumain siya ng tanghalian.
Sit down!	Umupo ka!
She sits down.	Umupo siya.
I'm tired!	Pagod na ako!
I'm tired.	Pagod na ako.
She leaves for college tomorrow morning.	Aalis siya para magkolehiyo bukas ng umaga.
The weather is warm and sunny.	Ang panahon ay mainit-init at maaraw.
A perfect day for a picnic.	Ito'y perpektong araw para sa picnic.
She wears red nail polish.	Nagsusuot siya ng pulang cutex.
The room smells clean.	Amoy malinis ang kwarto.
I love my cat.	Mahal ko ang aking pusa.
My family is driving to the beach for the long weekend.	Ang pamilya ay nagmamaneho papunta sa dagat para sa mahabang bakasyon.
The airplane flew over the gleaming ocean.	Lumipad ang eroplano sa taas ng kumikinang na karagatan.
She is my friend.	Kaibigan ko siya.
His shoes were brand new, and now they are missing.	Bago ang kanyang sapatos ngunit ngayon ay nawawala na ito.
The dog chased the boy.	Hinabol ng aso ang batang lalaki.
It is a nice day.	Maganda ang araw ngayon.
Her sister is sick.	May sakit ang kanyang kapatid na babae.
She is not at school today.	Wala siya sa paaralan ngayon.
The grass is green after the rain.	Kulay berde ang damo pagkatapos ng ulan.
She loves the mountains.	Mahilig siya sa kabundukan.
he hates the long drive.	Ayaw niya ang mahabang byahe.
My new dress is black and white.	Ang bago kong damit ay may kulay na itim at puti.
My brother loves to run.	Mahilig tumakbo ang aking kapatid na lalaki.
My sister prefers to walk.	Mas gusto ng aking kapatid na babae na maglakad.
My phone is missing.	Nawawala ang aking telepono.
The teacher is going on a well-earned vacation.	Ang aking guro ay nasa isang bakasyon na marapat lang.
Her coat is ripped.	Ang kanyang amerikana ay nasira.
The baby is hungry.	Gutom na ang sanggol.
She is eagerly drinking a bottle of milk.	Mabilis siyang umiinom ng isang bote ng gatas.
I'm walking to the library.	Naglalakad ako papunta sa silid-aklatan.
She went to the park yesterday.	Pumunta siya sa parke kahapon.
I hope to see you soon.	Sana makita kita sa lalong madaling panahon.
David plays the piano.	Marunong si David magpiano.
I hope you can come tomorrow.	Sana makapunta ka bukas.
We've forgotten the milk.	Nakalimutan natin ang gatas.
Is this your book?	Libro mo ba ito?
